"nom","marque","pays","volume","titrage_final"
Guadeloupe 16 Ans - Cask #GM21 - 1998 (Damoiseau),Compagnie Des Indes*,France,700,43
Guadeloupe 16 Ans - Cask #GM32 - 1998 (Damoiseau),Compagnie Des Indes*,France,700,43
Guadeloupe 16 Ans - Cask #CG1704 - 1998 (Damoiseau),Compagnie Des Indes*,France,700,43
Guadeloupe 16 Ans - Cask #CG91 - 1998 (Damoiseau),Compagnie Des Indes*,France,700,43
Guadeloupe 17 Ans - Cask #CG14 - 1998 (Damoiseau),Compagnie Des Indes*,France,700,43
Guadeloupe 20 Ans - Cask #PLG79 - 1998 (Père Labat),Compagnie Des Indes*,France,700,43.1
Guatemala 5 Ans (Darsa),Compagnie Des Indes*,France,700,
Guatemala 9 Ans - Cask #GDS13 - 2007 (Darsa),Compagnie Des Indes*,France,700,43
Guatemala 9 Ans - Cask #GDS17 - 2007 (Darsa),Compagnie Des Indes*,France,700,43
Guyana 8 Ans - Cask #GPW50 - 2010 (Diamond),Compagnie Des Indes*,France,700,43
Guyana 8 Ans - Cask #GPW51 - 2010 (Diamond),Compagnie Des Indes*,France,700,43
Guyana 8 Ans - Cask #GPW52 - 2010 (Diamond),Compagnie Des Indes*,France,700,43
Guyana 10 Ans - Cask #MPM18 - 2005 (Diamond),Compagnie Des Indes*,France,700,57.5
Guyana 10 Ans - Cask #MPM75 - 2005 (Diamond) - Cask Strength,Compagnie Des Indes*,France,700,58
Guyana 10 Ans - Cask #GPMVB21 - 2008,Compagnie Des Indes*,France,700,43
Guyana 12 Ans - Cask #MSG16 - 2003 (Diamond),Compagnie Des Indes*,France,700,45
Guyana 12 Ans - Cask #MSG17 - 2003 (Diamond),Compagnie Des Indes*,France,700,45
Guyana 13 Ans - Cask #MPM63 - 2002 (Diamond),Compagnie Des Indes*,France,700,43
Guyana 13 Ans - Cask #WPM35 - 2002 (Diamond),Compagnie Des Indes*,France,700,58
Guyana 13 Ans - Cask #WPM36 - 2002 (Diamond),Compagnie Des Indes*,France,700,59
Guyana 14 Ans - Cask #GDD40 - 2003 (Diamond),Compagnie Des Indes*,France,700,43
Guyana 14 Ans - Cask #GDD45 - 2003 (Diamond),Compagnie Des Indes*,France,700,43
Guyana 14 Ans - Cask #GDD46 - 2003 (Diamond),Compagnie Des Indes*,France,700,43
Guyana 21 Ans - Cask #GU4 - 1993 (Uitvlugt) - Cask Strength,Compagnie Des Indes*,France,700,56
Guyana 24 Ans - Cask #MEV04 - 1990 (Enmore) - Cask Strength,Compagnie Des Indes*,France,700,58.1
Guyana 27 Ans - Cask #MEC7 - 1988 (Enmore),Compagnie Des Indes*,France,700,52.7
Guyana 29 Ans - Cask #GEN2 - 1988 (Enmore) - Cask Strength,Compagnie Des Indes*,France,700,48
Haiti 11 Ans - Cask #BMH18 - 2004 (Barbancourt),Compagnie Des Indes*,France,700,43
Haiti 11 Ans - Cask #BMH32 - 2004 (Barbancourt) - Cask Strength,Compagnie Des Indes*,France,700,59.4
Indonesia 10 Ans - Cask #SB1 - 2004,Compagnie Des Indes*,France,700,43
Indonesia 10 Ans - Cask #SB2 - 2004,Compagnie Des Indes*,France,700,43
Indonesia 10 Ans - Cask #SB8 - 2004,Compagnie Des Indes*,France,700,43
Indonesia 10 Ans - Cask #SB22 - 2004,Compagnie Des Indes*,France,700,43
Jamaica 5 Ans - Navy Strength,Compagnie Des Indes*,France,700,57
Jamaica 7 Ans - Cask #WP4 - 2007 (Worthy Park),Compagnie Des Indes*,France,700,43
Jamaica 7 Ans - Cask #WP8 - 2007 (Worthy Park),Compagnie Des Indes*,France,700,43
Jamaica 7 Ans - Cask #WP27 - 2007 (Worthy Park),Compagnie Des Indes*,France,700,53
Jamaica 7 Ans - Cask #WP31 - 2007 (Worthy Park),Compagnie Des Indes*,France,700,43
Jamaica 7 Ans - Cask #WP42 - 2007 (Worthy Park),Compagnie Des Indes*,France,700,53
Jamaica 7 Ans - Cask #WP52 - 2007 (Worthy Park) - Cask Stength,Compagnie Des Indes*,France,700,53
Jamaica 8 Ans - Cask #SWP4 - 2007 (Worthy Park),Compagnie Des Indes*,France,700,45
Jamaica 8 Ans - Cask #WP22 - 2007 (Worthy Park),Compagnie Des Indes*,France,700,54.9
Jamaica 8 Ans - Cask #WP29 - 2007 (Worthy Park),Compagnie Des Indes*,France,700,55
Jamaica 9 Ans - Cask #JHJ2 - 2009 (Hampden),Compagnie Des Indes*,France,700,44
Jamaica 9 Ans - Cask #JHJ15 - 2009 (Hampden) - High Proof,Compagnie Des Indes*,France,700,55
Jamaica 9 Ans - Cask #JHJ20 - 2009 (Hampden),Compagnie Des Indes*,France,700,44
Jamaica 10 Ans - Cask #JBM13 - 2008 - Cask Strength,Compagnie Des Indes*,France,700,57.9
Jamaica 10 Ans - Cask #JBM47 - 2008,Compagnie Des Indes*,France,700,44
Jamaica 11 Ans - Cask #JCL25 - 2007 (Monymusk),Compagnie Des Indes*,France,700,55
Jamaica 11 Ans - Cask #JCL78 - 2007 (Monymusk),Compagnie Des Indes*,France,700,43
Jamaica 11 Ans - Cask #JCL79 - 2007 (Monymusk),Compagnie Des Indes*,France,700,43
Jamaica 11 Ans - Cask #JCL80 - 2007 (Monymusk),Compagnie Des Indes*,France,700,43
Jamaica 11 Ans - Cask #JWMP31 - 2007 (Bar 1802 Monte Cristo),Compagnie Des Indes*,France,700,51.4
Jamaica 12 Ans - Cask #JLP2 - 2003 (Long Pond),Compagnie Des Indes*,France,700,44
Jamaica 12 Ans - Cask #JLP3 - 2003 (Long Pond),Compagnie Des Indes*,France,700,44
Jamaica 12 Ans - Cask #JLP6 - 2003 (Long Pond),Compagnie Des Indes*,France,700,44
Jamaica 12 Ans - Cask #JNY17 - 2005 (New Yarmouth),Compagnie Des Indes*,France,700,55
Jamaica 12 Ans - Cask #JNY20 - 2005 (New Yarmouth),Compagnie Des Indes*,France,700,55
Jamaica 13 Ans - Cask #JNY15 - 2005 (New Yarmouth),Compagnie Des Indes*,France,700,55
Jamaica 14 Ans - Cask #HP98 - 2000 (Hampden) - Cask Strength,Compagnie Des Indes*,France,700,58
Jamaica 15 Ans - Cask #JH10 - 2000 (Hampden),Compagnie Des Indes*,France,700,43
Jamaica 15 Ans - Cask #JH46 - 2000 (Hampden),Compagnie Des Indes*,France,700,43
Jamaica 15 Ans - Cask #JH53 - 2000 (Hampden),Compagnie Des Indes*,France,700,43
Jamaica 16 Ans - Cask #JHPF01 - 2000 (Hampden),Compagnie Des Indes*,France,700,44
Jamaica 24 Ans - Cask #JHPE3 - 1992 (Hampden) - Cask Strength,Compagnie Des Indes*,France,700,59.8
Jamaica 33 Ans (Hampden) - Carafe - Cask Strength,Compagnie Des Indes*,France,700,54.1
Kaiman,Compagnie Des Indes*,France,700,46
Latino 5 Ans - Finish Vosne-Romanée - Cask #VR1,Compagnie Des Indes*,France,700,46
Martinique 11 Ans - Cask #MAR10 - 2008 (Simon),Compagnie Des Indes*,France,700,42
Martinique 11 Ans - Cask #MAR11 - 2008 (Simon),Compagnie Des Indes*,France,700,42
Martinique 13 Ans - Cask #MA56 - 2002 (Dillon),Compagnie Des Indes*,France,700,44
Martinique 13 Ans - Cask #MA67 - 2002 (Dillon),Compagnie Des Indes*,France,700,44
Nicaragua 11 Ans - Cask #SN18 - 2004,Compagnie Des Indes*,France,700,69.1
Oktoberum,Compagnie Des Indes*,France,700,46
Panama 9 Ans - Cask #PSC8 - 2008 - Cask Strength,Compagnie Des Indes*,France,700,60.9
Panama 9 Ans - Cask #PSC77 - 2008,Compagnie Des Indes*,France,700,43
Panama 11 Ans - Cask #MRS255 - 2004 - Cask Strength,Compagnie Des Indes*,France,700,60
Tiki Fire Spiced Rum - 151 Proof (Persian Lime & Smooth Vanilla),Admiral Vernon's Old J*,Angleterre,700,75.5
Panama 11 Ans - Cask #MRS263 - 2004,Compagnie Des Indes*,France,700,44
Panama 11 Ans - Cask #MRS322 - 2004,Compagnie Des Indes*,France,700,44
Panama 12 Ans - Cask #PMD43 - 2004,Compagnie Des Indes*,France,700,61.5
Panama 12 Ans - Cask #PMD83 - 2004,Compagnie Des Indes*,France,700,45
St. Lucia 13 Ans - Cask #SLD41 - 2002,Compagnie Des Indes*,France,700,43
St. Lucia 13 Ans - Cask #SLD46 - 2002 - Cask Strength,Compagnie Des Indes*,France,700,56.3
St. Lucia 13 Ans - Cask #SLD84 - 2002,Compagnie Des Indes*,France,700,43
Tricorne,Compagnie Des Indes*,France,700,43
Trinidad 13 Ans - Cask #TTD35 - 2005 (TDL),Compagnie Des Indes*,France,700,45
Trinidad 15 Ans - Cask #TTM15 - 2003 (TDL),Compagnie Des Indes*,France,700,44
Trinidad 15 Ans - Cask #TTM29 - 2003 (TDL),Compagnie Des Indes*,France,700,44
Trinidad 16 Ans - Cask #TT84 - 2000 (TDL) - Cask Strength,Compagnie Des Indes*,France,700,63.6
Trinidad 16 Ans - Cask #TT96 - 2000 (TDL),Compagnie Des Indes*,France,700,63
Trinidad 16 Ans - Cask #TLBF15 - 2003 (TDL),Compagnie Des Indes*,France,700,63.5
Trinidad 16 Ans - Cask #TLBF16 - 2003 (TDL),Compagnie Des Indes*,France,700,63.5
Trinidad 18 Ans - Cask #SC2 - 1996 (Caroni),Compagnie Des Indes*,France,700,43
Trinidad 18 Ans - Cask #SC3 - 1996 (Caroni),Compagnie Des Indes*,France,700,43
Trinidad 18 Ans - Cask #SCT9 - 1996 (Caroni) - Cask Strength,Compagnie Des Indes*,France,700,61
Trinidad 19 Ans - Cask #SC1 - 1996 (Caroni) - Cask Strength,Compagnie Des Indes*,France,700,53.2
Trinidad 20 Ans - Cask #TTCR14 - 1998 (Caroni),Compagnie Des Indes*,France,700,59.8
Trinidad 21 Ans - Cask #SC707 - 1994 (Caroni) - Cask Strength,Compagnie Des Indes*,France,700,57.8
Trinidad 22 Ans - Cask #TC4 - 1993 (Caroni),Compagnie Des Indes*,France,700,48
Trinidad 22 Ans - Cask #TC6 - 1993 (Caroni),Compagnie Des Indes*,France,700,48
Trinidad 23 Ans - Cask #TCC3 - 1993 (Caroni) - Cask Strength,Compagnie Des Indes*,France,700,53.1
Trinidad 24 Ans - Cask #SC803 - 1991 (Caroni) - Cask Strength,Compagnie Des Indes*,France,700,56.3
Trinidad 26 Ans - Cask #TP8 - 1991 (Caroni) - Cask Strength,Compagnie Des Indes*,France,700,56.2
Veneragua 13 Ans - Cask #SB4 - 2005,Compagnie Des Indes*,France,700,45
Venezuela 12 Ans - Cask #VCA1 - 2006,Compagnie Des Indes*,France,700,43
Venezuela 12 Ans - Cask #VCA3 - 2006,Compagnie Des Indes*,France,700,43
Venezuela 12 Ans - Cask #VCA4 - 2006,Compagnie Des Indes*,France,700,43
Venezuela 12 Ans - Cask #VCA5 - 2006 - Cask Strength,Compagnie Des Indes*,France,700,58
Venezuela 14 Ans - Cask #??? - 2005,Compagnie Des Indes*,France,700,43
Venezuela 14 Ans - Cask #VNT57 - 2005,Compagnie Des Indes*,France,700,43
Venezuela 14 Ans - Cask #VNT61 - 2005,Compagnie Des Indes*,France,700,43
West Indies 8 Ans,Compagnie Des Indes*,France,700,40
Bielle 2005-2012,Comptoir Des Caraïbes*,France,700,50
Bielle - Cuvée 2009 (Brut de Fût #101),La Confrérie du Rhum*,France,700,52.3
Bielle - Cuvée 2009 (Brut de Fût #106),La Confrérie du Rhum*,France,700,52.6
Bielle - Cuvée 2009 (Brut de Fût #107),La Confrérie du Rhum*,France,700,52.1
Cuvée n°1 - Barbados 2000 (West Indies),La Confrérie du Rhum*,France,700,43
Cuvée n°2 - Guadeloupe 1998 (Damoiseau),La Confrérie du Rhum*,France,700,42
Fleur de Canne (Vieux) - Edition Spéciale La Confrérie du Rhum,La Confrérie du Rhum*,France,700,42
Arturo Makasare 2001-2016 (Edición Limitada),Corman Collins Rhums*,Belgique,700,44
Arturo Makasare 23 Años,Corman Collins Rhums*,Belgique,700,44
Arturo Makasare Finca Maroma,Corman Collins Rhums*,Belgique,700,40
Rumbastic - 12 Years (Travellers),A Dream of Scotland*,Belize,700,60.6
"Bellevue 1998 """"Flamme d'Or"""" 14 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Caroni 1999 """"Master Selection"""" 15 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Caroni 1999 """"Premium Cask"""" 16 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Caroni 1999 """"Old Reserve"""" 18 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Caroni 1999 """"XO"""" 20 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,47
"Chichigalpa 1995 """"Très Vieux"""" 15 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Enmore 1990 """"Empereur"""" 28 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Foursquare 2000 """"Millenium Reserve"""" 6 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Foursquare 2007 """"Old Selection"""" 10 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Foursquare 2007 """"Old Reserve"""" 12 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,46.6
"Galion 2002 """"Grande Réserve"""" 8 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Hampden 1998 """"Golden Barrel"""" 16 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Hampden 1998 """"XO"""" 20 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Licorera 1998 """"Special Reserve"""" 8 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
Arturo Makasare La Paquita,Corman Collins Rhums*,Belgique,700,40
Arturo Makasare Trinidad 1997-2017 (Caroni),Corman Collins Rhums*,Belgique,700,49.1
Dame Jeanne Collection 42°,Corman Collins Rhums*,Belgique,700,42
Dame Jeanne Collection 44°,Corman Collins Rhums*,Belgique,700,44
Hampden 1983-2019,Corman Collins Rhums*,Belgique,700,55.3
Hampden 2001-2017,Corman Collins Rhums*,Belgique,700,60.4
Navy Full Strength,Corman Collins Rhums*,Belgique,700,52.3
Navy Light Strength,Corman Collins Rhums*,Belgique,700,42.8
Panama 13 (2004),Corman Collins Rhums*,Belgique,700,60.2
Rhum J. Bally 18,Corman Collins Rhums*,Belgique,700,56.8
Trois Rivières Cuvée Bélé - Cask #22-4,Corman Collins Rhums*,Belgique,700,52.3
Caroni 17 Years - Barrel #2944,Creative Whisky Company*,Ecosse,700,50
"Sinob Caroni 1997 (Full Proof, Cask #73)",Creative Whisky Company*,Ecosse,700,57.9
The James Dinnen Series - Caroni 1999,Creative Whisky Company*,Ecosse,700,50
"",Cullinary*,Canada,700,
Rhum Savanna Grand Arôme - Monopole,Dumons GM & Co.*,Réunion,700,43
Barbados 1986-2012 (Cask #16) - West Indies,Duncan Taylor*,Ecosse,700,52.7
Barbados 2000-2012 (Cask #12) - Mount Gay,Duncan Taylor*,Ecosse,700,53.7
Barbados 2000-2016 (Cask #16) - West Indies,Duncan Taylor*,Ecosse,700,52
Brazil 1999-2016 (Cask #3) - Epris,Duncan Taylor*,Ecosse,700,47.5
Carribean Rum - Batch 1996,Duncan Taylor*,Ecosse,700,46
"Long Pond 1992 """"Imperial"""" 15 Years (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
Carribean Rum - Batch 2001,Duncan Taylor*,Ecosse,700,46
Cuba 1998-2012 (Cask #78) - Sancti Spiritus,Duncan Taylor*,Ecosse,700,53.2
Fiji 2003-2013 (Cask #18) - South Pacific,Duncan Taylor*,Ecosse,700,54.8
Guadeloupe 1998-2012 (Cask #4) - Damoiseau,Duncan Taylor*,Ecosse,700,52.3
Guadeloupe 1998-2017 (Cask #33) - Damoiseau,Duncan Taylor*,Ecosse,700,52.8
Guadeloupe 1998-2014 (Cask #88) - Damoiseau,Duncan Taylor*,Ecosse,700,51.4
Guadeloupe 1998-2016 (Cask #94) - Damoiseau,Duncan Taylor*,Ecosse,700,52.2
Guatemala 2007-2016 (Cask #8) - Darsa,Duncan Taylor*,Ecosse,700,52.4
Guyana 1985-2012 (Cask #64) - Enmore,Duncan Taylor*,Ecosse,700,52.5
Guyana 1989-2012 (Cask #5) - Uitvlugt,Duncan Taylor*,Ecosse,700,54.9
Guyana 1997-2015 (Cask #11) - Uitvlugt,Duncan Taylor*,Ecosse,700,52.8
Guyana 1998-2014 (Cask #35) - Uitvlugt,Duncan Taylor*,Ecosse,700,52.7
Guyana 2002-2015 (Cask #131) - Diamond,Duncan Taylor*,Ecosse,700,53.4
Guyana 2003-2013 (Cask #72) - Diamond,Duncan Taylor*,Ecosse,700,54.4
Guyana 2003-2014 (Cask #71) - Diamond,Duncan Taylor*,Ecosse,700,56.7
Haiti 2004-2017 (Cask #59) - Barbancourt,Duncan Taylor*,Ecosse,700,54.4
Jamaica 1990-2012 (Cask #10) - Hampden,Duncan Taylor*,Ecosse,700,52.9
Jamaica 1997-2012 (Cask #3) - Monymusk,Duncan Taylor*,Ecosse,700,53.4
Jamaica 2000-2012 (Cask #122) - Hampden,Duncan Taylor*,Ecosse,700,53.1
Jamaica 2000-2014 (Cask #6) - Long Pond,Duncan Taylor*,Ecosse,700,54.6
Jamaica 2000-2014 (Cask #34) - Hampden,Duncan Taylor*,Ecosse,700,53.3
Jamaica 2000-2014 (Cask #50) - Hampden,Duncan Taylor*,Ecosse,700,52.7
Jamaica 2000-2016 (Cask #65) - Long Pond,Duncan Taylor*,Ecosse,700,51.9
Jamaica 2000-2017 (Cask #17) - Long Pond,Duncan Taylor*,Ecosse,700,54.1
Jamaica 2003-2014 (Cask #18) - Monymusk,Duncan Taylor*,Ecosse,700,53.5
Jamaica 2003-2016 (Cask #2) - Monymusk,Duncan Taylor*,Ecosse,700,52.1
Nicaragua 2004-2017 (Cask #9),Duncan Taylor*,Ecosse,700,55.4
Panama 1995-2012 (Cask #4) - Don José,Duncan Taylor*,Ecosse,700,54.4
St-Lucia 2002-2013 (Cask #5),Duncan Taylor*,Ecosse,700,52.6
St-Lucia 2002-2014 (Cask #6),Duncan Taylor*,Ecosse,700,54.2
N°6 - Guyana 23 Ans (Uitvlugt),EKTE*,Danemark,700,57.7
Pungent & Geeky (PG),EKTE*,Danemark,700,47
Spiced & Rich (SR),EKTE*,Danemark,700,43
Barbancourt 2004 (Cask #BB 86),L'Esprit*,France,700,46
Barbancourt 2004 (Cask #BB 86) Cask Strength,L'Esprit*,France,700,66.2
Bellevue 1998 (Cask #3),L'Esprit*,France,700,46
Bellevue 1998 (Cask #3) Cask Strength,L'Esprit*,France,700,58
Bellevue 1998 (Cask #BB 44),L'Esprit*,France,700,46
Bellevue 1998 (Cask #BB 44) Cask Strength,L'Esprit*,France,700,57.5
Beenleigh - Still Strength,L'Esprit*,France,700,78.1
Black Rock 2000 (Cask #2) - West Indies,L'Esprit*,France,700,46
Black Rock 2000 (Cask #2) - West Indies - Cask Strength,L'Esprit*,France,700,57.7
"Black Rock 82,3° (West Indies)",L'Esprit*,France,700,82.3
Caroni 1996 (Cask #BB 4),L'Esprit*,France,700,64.3
Chichigalpa 2002 (Cask #BB 5),L'Esprit*,France,700,46
Chichigalpa 2002 (Cask #BB 5) - Cask Strength,L'Esprit*,France,700,63.1
Diamond MPM 85° (Cuvée Edgar Second Edition),L'Esprit*,France,700,85
Diamond 2003 (Cask #58),L'Esprit*,France,700,46
Diamond 2005 (Cask #BB 114) - Cask Strength,L'Esprit*,France,700,71.4
Don José 2000 (Cask #2),L'Esprit*,France,700,46
Don José 2000 (Cask #2) - Cask Strength,L'Esprit*,France,700,57.8
A Panama Distillery 2004 (Cask #BB 71) - Cask Strength,L'Esprit*,France,700,62.6
Epris 1999 (Cask #52),L'Esprit*,France,700,47.7
Foursquare 2002 (Cask #BB 15) - Cask Strength,L'Esprit*,France,700,56.4
Foursquare 2007 (Cask #BB 10) - Cask Strength,L'Esprit*,France,700,65.3
La Favorite - Cuvée Ernest First Edition (V&B),L'Esprit*,France,700,73
Monymusk 2007 (Cask #BB 11) - Cask Strength,L'Esprit*,France,700,67
"Port Mourant Blanc 84,7°",L'Esprit*,France,700,84.7
Port Mourant 2005 (Cask #BB 20 B) - Cask Strength,L'Esprit*,France,700,59.9
"Long Pond 1992 """"Imperial"""" 18 Years (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
Port Mourant 2005 (Cask #BB 22) - Cask Strength,L'Esprit*,France,700,60
South Pacific 83° (Still Strength),L'Esprit*,France,700,83
Travellers 2005 (Cask #BB  11),L'Esprit*,France,700,46
Travellers 2005 (Cask #BB  11) - Cask Strength,L'Esprit*,France,700,66.1
Travellers 2007  (Cask #BB  36) - Cuvée 10e Anniversaire Cask Strength,L'Esprit*,France,700,66.1
Worthy Park 2007 (Cask #BB 9) - Cask Strength,L'Esprit*,France,700,56.9
Worthy Park 2007 (Cask #BB 10) - Cask Strength,L'Esprit*,France,700,55.9
Worthy Park 2007 (Cask #49) - Cask Strength,L'Esprit*,France,700,55.3
Carribean Smooth 1816 (Dark),Estaro*,Pays-Bas,700,37.5
Carribean Smooth 1816 (Blanc),Estaro*,Pays-Bas,700,37.5
Barbade Foursquare - MBFS 2006-2017,Excellence Rhum*,France,700,62.8
Barbade Foursquare - Cask Strength Fût #14-  2007-2018,Excellence Rhum*,France,700,64.4
Fidji South Pacific SMF Cask Strength 2004-2018,Excellence Rhum*,France,700,65.5
Guadeloupe Bellevue - SFGB 1998-2017,Excellence Rhum*,France,700,59.9
Guyana Diamond - MPM 2005-2017,Excellence Rhum*,France,700,60.1
Guyana Port Mourant - MPM 2008-2018,Excellence Rhum*,France,700,62.2
Jamaique Hampden - LROK 2000-2017,Excellence Rhum*,France,700,54.6
Jamaique Worthy Park - WPL 2007-2018,Excellence Rhum*,France,700,57
Maison La Mauny E15 - Cask Strength 2015-2019,Excellence Rhum*,France,700,62.8
Marie Galante Bielle YQM - Cask Strength 2012-2019,Excellence Rhum*,France,700,59.2
Grenada XO Rum (Sélection A'Rhum 2019) - Batch #1,Explorateur du Goût*,France,700,52
Bélize - Aged 5 Years,Fair*,France,700,40
Bélize - Aged 8 Years,Fair*,France,700,53.8
Bélize - Aged 8 Years - Single Cask A'Rhum,Fair*,France,700,62
Bélize - Aged 9 Years,Fair*,France,700,41
Bélize - Aged 10 Years,Fair*,France,700,40
Bélize - Aged 10 Years - Fullproof,Fair*,France,700,66.5
Bélize - Aged 11 Years,Fair*,France,700,50.7
Bélize - XO,Fair*,France,700,40
Bélize - XO Finish Acacia,Fair*,France,700,40
Bélize - XO Finish Acacia Gold Label,Fair*,France,700,46
Bélize - XO Finish Chataignier,Fair*,France,700,43
Bélize - XO Finish Chestnut,Fair*,France,700,43
Jamaica - Aged 5 Years (Worthy Park),Fair*,France,700,40
Muscovado 2016,Fair*,France,700,55
Muscovado 2017,Fair*,France,700,55
Paraguay XO,Fair*,France,700,40
Salvador XO,Fair*,France,700,44
Influences n°2 - Australie-Jamaique,Famille Ricci*,France,700,46
Influences n°3 - Guyana-Guatemala,Famille Ricci*,France,700,46
Ambré,Ferroni*,France,700,40
Australie 2013,Ferroni*,France,500,60.4
Australie Maurice Barbade - La Table du Loup,Ferroni*,France,500,59.2
Barbade 2007 (Foursquare),Ferroni*,France,500,57.5
Barbade 2009 (Foursquare),Ferroni*,France,500,63.5
"Port Morant 1990 """"Diamonds of Demerara"""" 25 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
Bélize 2007 (Travellers),Ferroni*,France,500,42
Bélize 2007 - Cask Strength (Travellers),Ferroni*,France,500,61
Boucan d'Enfer,Ferroni*,France,700,50
Cuba 2011,Ferroni*,France,500,58.5
Cuvée La Baffe de l'Ours,Ferroni*,France,500,61.2
Fresh Cane,Ferroni*,France,700,56
"3 Latitudes Gwada 1998",Ferroni*,France,500,44
Gwada 1998 - Rasteau Finish,Ferroni*,France,500,56.5
Honey Rum,Ferroni*,France,700,37.5
Issan Flower 2015,Ferroni*,France,500,59.2
"Jamaique 2010 (Worthy Park) - (63,4°)",Ferroni*,France,500,63.4
"Jamaique 2010 (Worthy Park) - (65,6°)",Ferroni*,France,500,65.6
"Jamaique 2010 (Worthy Park) - (66,2°)",Ferroni*,France,500,66.2
La Dame Jeanne - Pur Jus de Canne (56°),Ferroni*,France,700,56
La Dame Jeanne - Pur Jus de Canne (57°) - Chamarel,Ferroni*,France,700,57
La Dame Jeanne 2 - Melasse Power (57°),Ferroni*,France,700,57
La Dame Jeanne 3 - Canne Rouge (57°),Ferroni*,France,700,57
La Dame Jeanne 4 - L'Atlantique,Ferroni*,France,700,57
La Dame Jeanne 5,Ferroni*,France,700,57
La Dame Jeanne - La Table du Loup,Ferroni*,France,700,57
Le Boucanier (Rhum Fumé),Ferroni*,France,700,40
"Sanctus Spiritus 1998 """"Old Vintage Selection"""" 16 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
Le Merveilleux Farlernum,Ferroni*,France,700,19
Les Ciseaux (Saint-Maurice),Ferroni*,France,700,50
Overproof (73°),Ferroni*,France,700,73
Overproof - Batch #2 (74°),Ferroni*,France,700,74
Rosé Rhum Blend,Ferroni*,France,700,40
Série des Lumières - Guildive 1800,Ferroni*,France,500,40
Série des Lumières - Guildive 1800 - Batch #2,Ferroni*,France,500,40
Série des Lumières - Ratafia de Marseille,Ferroni*,France,500,35
Terres de Pur Jus,Ferroni*,France,500,63.2
Torna Viagem,Ferroni*,France,500,64
Trinidad 2010,Ferroni*,France,500,53
Barbados & Jamaica,Flensburg*,Allemagne,700,
Barbados MBFS 2005,Flensburg*,Allemagne,700,62.9
Guyana MEC 1992,Flensburg*,Allemagne,700,59.8
"",General Rum Trader*,,,
Caroni Aged 16 Years (Cask #2944),Gleann Mór Spirits Company*,Ecosse,700,50.2
Trinidad Caroni 13 Years,Good Spirits*,,700,
Demerara Vintage 1974 (Casks #102 & #103),Gordon & Macphail*,Ecosse,700,50
Jamaica Vintage 1941 (Cask #76) - Long Pond,Gordon & Macphail*,Ecosse,700,50
Barbados - Aged 17 Years - Rockley Still (1986) - West Indies,High Spirits Collection*,Italie,700,46
Demerara - Aged 13 Years - Port Mourant (1990) - Uitvlugt,High Spirits Collection*,Italie,700,46
Demerara - 1971 (Enmore),High Spirits Collection*,Italie,700,54
Demerara - 1974 (Enmore),High Spirits Collection*,Italie,700,54
Demerara - 1974 (Enmore),High Spirits Collection*,Italie,700,54
Demerara - 1975 (Uitvlugt),High Spirits Collection*,Italie,700,52
Trinidad - Aged 12 Years - Caroni (1991),High Spirits Collection*,Italie,700,46
Trinidad - Aged 15 Years - Caroni (1997),High Spirits Collection*,Italie,700,46
Trinidad - Aged 18 Years - Caroni (1998),High Spirits Collection*,Italie,700,46
Trinidad - Aged 21 Years - Caroni (1991) 46°,High Spirits Collection*,Italie,700,46
Trinidad - Aged 21 Years - Caroni (1991) 58°,High Spirits Collection*,Italie,700,58
Guyana Demerara Rum - Versailles 11 Years,Holsons*,Royaume-Uni,700,46
Barbados 2000-2013 (Mount Gay) - Cask #IDR004,Isla Del Ron*,Allemagne,700,61.6
Barbados 2000-2016 (Mount Gay) - Cask #IDR014,Isla Del Ron*,Allemagne,700,57.8
Bélize 2005-2014 (Travellers) - Cask #IDR009,Isla Del Ron*,Allemagne,700,66.4
Brazil 1999-2017 (Epris) - Cask #IDR016,Isla Del Ron*,Allemagne,700,47.1
Cuba 1998 (Sancti Spiritus) - Cask #IDR005,Isla Del Ron*,Allemagne,700,58.5
Cuba 1998-2016 (Sancti Spiritus) - Cask #IDR013,Isla Del Ron*,Allemagne,700,59.3
Dominican Republic 2009-2018 - Cask #IDR021,Isla Del Ron*,Allemagne,700,64.5
